Linear_Setpoint,Linear_Velocity,Robot_Pixel,Robot_Pixel_Setpoint,Angular_Velocity
0.22,0.21303200000000005,322,320,-0.021804499999999997
0.22,0.21514699999999998,321,320,-0.0150376
0.22,0.21754600000000002,320,320,-0.0075188
0.22,0.21754600000000002,320,320,-0.0075188
0.22,0.219752,319,320,0.00075188
0.22,0.219505,319,320,0.00150376
0.22,0.21925799999999998,319,320,0.00225564
0.22,0.21901199999999998,319,320,0.00300752
0.22,0.218521,320,320,-0.00451128
0.22,0.218521,320,320,-0.00451128
