X_Goal,Y_Goal,X_Pos,Y_Pos
0,0,6.20141e-05,2.83589e-07
-0.5709,-0.538144,6.19467e-05,2.94278e-07
-0.5709,-0.538144,6.18356e-05,2.99546e-07
-0.5709,-0.538144,0.00121658,2.97358e-07
-0.5709,-0.538144,0.00342798,-2.22081e-07
-0.5709,-0.538144,0.00624055,-6.54182e-06
-0.5709,-0.538144,0.00963971,-3.63541e-05
-0.5709,-0.538144,0.0137402,-0.000114037
-0.5709,-0.538144,0.0184245,-0.00026618
-0.5709,-0.538144,0.0236201,-0.00052813
-0.5709,-0.538144,0.0293924,-0.000948391
-0.5709,-0.538144,0.035831,-0.00158614
-0.5709,-0.538144,0.0428282,-0.00248809
-0.5709,-0.538144,0.0509331,-0.00380114
-0.5709,-0.538144,0.0594551,-0.00546484
-0.5709,-0.538144,0.0667909,-0.00716059
-0.5709,-0.538144,0.0739956,-0.00908368
-0.5709,-0.538144,0.0813965,-0.0113309
-0.5709,-0.538144,0.0887165,-0.0138274
-0.5709,-0.538144,0.0959477,-0.01657
-0.5709,-0.538144,0.103053,-0.0195439
-0.5709,-0.538144,0.110054,-0.0227565
-0.5709,-0.538144,0.117137,-0.0263027
-0.5709,-0.538144,0.124097,-0.030087
-0.5709,-0.538144,0.13158,-0.0344913
-0.5709,-0.538144,0.139441,-0.0394845
-0.5709,-0.538144,0.147129,-0.0447416
-0.5709,-0.538144,0.153705,-0.0495719
-0.5709,-0.538144,0.160054,-0.0545752
-0.5709,-0.538144,0.166229,-0.0597901
-0.5709,-0.538144,0.172766,-0.0657016
-0.5709,-0.538144,0.179045,-0.0717792
-0.5709,-0.538144,0.185115,-0.078066
-0.5709,-0.538144,0.190633,-0.0841833
-0.5709,-0.538144,0.195893,-0.0904265
-0.5709,-0.538144,0.201001,-0.0969241
-0.5709,-0.538144,0.205886,-0.103591
-0.5709,-0.538144,0.210867,-0.110897
-0.5709,-0.538144,0.215613,-0.11839
-0.5709,-0.538144,0.219787,-0.125502
-0.5709,-0.538144,0.22373,-0.132775
-0.5709,-0.538144,0.227425,-0.140177
-0.5709,-0.538144,0.230876,-0.147721
-0.5709,-0.538144,0.23407,-0.155377
-0.5709,-0.538144,0.237032,-0.163214
-0.5709,-0.538144,0.239727,-0.171148
-0.5709,-0.538144,0.242151,-0.179169
-0.5709,-0.538144,0.244459,-0.187854
-0.5709,-0.538144,0.2465,-0.196742
-0.5709,-0.538144,0.248051,-0.204725
-0.5709,-0.538144,0.249351,-0.212886
-0.5709,-0.538144,0.250375,-0.221086
