q_diag,r_diag,horizon,tolerance,dt_
0.5,0.5,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
3,3,3.18541,2.75181,-2.97644,-2.4064
3,3,3.188,2.75413,-2.97644,-2.41217
3,3,3.18965,2.7556,-2.97644,-2.41893
3,3,3.19102,2.75679,-2.97644,-2.42959
3,3,3.19232,2.75789,-2.97644,-2.45337
3,3,3.19678,2.76133,-2.97644,-2.48413
3,3,3.2042,2.76707,-2.97644,-2.48649
3,3,3.20751,2.76953,-2.97644,-2.52643
3,3,3.20691,2.76916,-2.97644,-2.60518
3,3,3.20207,2.76661,-2.97644,-2.7034
3,3,3.19501,2.7637,-2.97644,-2.79314
3,3,3.18602,2.76085,-2.97644,-2.87284
3,3,3.172,2.75769,-2.97644,-2.96391
3,3,3.16037,2.75594,-2.97644,-3.01931
3,3,3.14439,2.75448,-2.97644,-3.08136
3,3,3.13239,2.754,-2.97644,-3.12024
3,3,3.1206,2.75394,-2.97644,3.12953
3,3,3.10915,2.75461,-2.97644,3.02098
3,3,3.09654,2.75717,-2.97644,2.86236
3,3,3.08248,2.76244,-2.97644,2.70279
3,3,3.06385,2.77375,-2.97644,2.49006
3,3,3.05073,2.7855,-2.97644,2.33051
3,3,3.03625,2.80435,-2.97644,2.11778
3,3,3.02835,2.81996,-2.97644,1.95824
3,3,3.02324,2.83592,-2.97644,1.79869
3,3,3.02089,2.8514,-2.97644,1.63915
3,3,3.02148,2.86945,-2.97644,1.42646
3,3,3.02524,2.88447,-2.97644,1.21374
3,3,3.0296,2.89395,-2.97644,1.0542
3,3,3.03402,2.90051,-2.97644,0.894666
3,3,3.03883,2.90547,-2.97644,0.681955
3,3,3.04129,2.90722,-2.97644,0.522431
3,3,3.04419,2.90862,-2.97644,0.309718
3,3,3.04397,2.90859,-2.97644,0.203353
3,3,3.04001,2.90842,-2.97644,-0.0625064
3,3,3.03627,2.909,-2.97644,-0.222019
3,3,3.03177,2.91043,-2.97644,-0.381526
3,3,3.02694,2.91287,-2.97644,-0.541032
3,3,3.02215,2.91633,-2.97644,-0.700541
3,3,3.01775,2.92072,-2.97644,-0.860045
3,3,3.01406,2.92582,-2.97644,-1.01955
3,3,3.01126,2.93135,-2.97644,-1.17905
3,3,3.00942,2.93711,-2.97644,-1.33855
3,3,3.0086,2.94259,-2.97644,-1.49804
3,3,3.00879,2.94754,-2.97644,-1.69862
3,3,3.00967,2.95196,-2.97644,-1.8276
3,3,3.01136,2.95681,-2.97644,-1.97666
3,3,3.01274,2.95962,-2.97644,-2.07121
3,3,3.01413,2.9619,-2.97644,-2.15682
3,3,3.01538,2.96362,-2.97644,-2.23125
3,3,3.01677,2.96524,-2.97644,-2.31771
3,3,3.0179,2.96636,-2.97644,-2.39479
3,3,3.01867,2.96702,-2.97644,-2.46186
3,3,3.01906,2.96731,-2.97644,-2.50746
3,3,3.01932,2.96749,-2.97644,-2.5497
3,3,3.01945,2.96756,-2.97644,-2.60075
3,3,3.0194,2.96753,-2.97644,-2.63511
3,3,3.0192,2.96741,-2.97644,-2.67734
3,3,3.01895,2.96729,-2.97644,-2.70582
3,3,3.01863,2.96714,-2.97644,-2.73197
3,3,3.01825,2.96698,-2.97644,-2.7559
3,3,3.01783,2.96681,-2.97644,-2.77748
0,2.5,3.01738,2.96664,2.1588,-2.79741
0,2.5,3.0157,2.9661,2.1588,-2.85308
0,2.5,3.00472,2.96337,2.1588,-2.93473
0,2.5,2.98329,2.95985,2.1588,-3.01759
0,2.5,2.96312,2.9579,2.1588,-3.07268
0,2.5,2.90875,2.95729,2.1588,3.1003
0,2.5,2.8747,2.95965,2.1588,3.04519
0,2.5,2.79356,2.97218,2.1588,2.93498
0,2.5,2.72591,2.98869,2.1588,2.88008
0,2.5,2.63209,3.01401,2.1588,2.88831
0,2.5,2.55494,3.03229,2.1588,2.93364
0,2.5,2.47485,3.04758,2.1588,2.9669
0,2.5,2.39442,3.06121,2.1588,2.9784
0,2.5,2.31388,3.07428,2.1588,2.98231
0,2.5,2.20644,3.09143,2.1588,2.98392
0,2.5,2.12585,3.10423,2.1588,2.98429
0,2.5,2.04526,3.11701,2.1588,2.98444
0,2.5,1.9378,3.13403,2.1588,2.98451
0,2.5,1.80348,3.15531,2.1588,2.98454
0,2.5,1.69601,3.17232,2.1588,2.98454
0,2.5,1.61542,3.18509,2.1588,2.98455
0,2.5,1.50796,3.2021,2.1588,2.98455
0,2.5,1.4005,3.21912,2.1588,2.98455
0,2.5,1.26617,3.24039,2.1588,2.98455
0,2.5,1.15871,3.25741,2.1588,2.98455
0,2.5,1.07811,3.27017,2.1588,2.98455
0,2.5,0.997519,3.28293,2.1588,2.98455
0,2.5,0.869623,3.30227,2.1588,2.99735
0,2.5,0.757481,3.31806,2.1588,3.00953
0,2.5,0.678855,3.32778,2.1588,3.02858
0,2.5,0.591605,3.33659,2.1588,3.05445
0,2.5,0.528935,3.34141,2.1588,3.07611
