q_diag,r_diag,horizon,tolerance,dt_
0.1,1,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
3,3,1.93202,1.88868,-2.97644,0.753754
3,3,1.98127,1.92805,-2.97644,0.575668
3,3,2.03508,1.95542,-2.97644,0.362886
3,3,2.08609,1.96896,-2.97644,0.150057
3,3,2.11989,1.97146,-2.97644,-0.00957293
3,3,2.16391,1.96565,-2.97644,-0.275594
3,3,2.17953,1.95996,-2.97644,-0.435204
3,3,2.18604,1.95656,-2.97644,-0.534944
3,3,2.1928,1.95188,-2.97644,-0.72707
3,3,2.18985,1.95547,-2.97644,-0.937788
3,3,2.18227,1.96881,-2.97644,-1.15059
3,3,2.17469,1.99294,-2.97644,-1.3634
3,3,2.17138,2.02717,-2.97644,-1.57619
3,3,2.17605,2.06776,-2.97644,-1.78897
3,3,2.18564,2.09888,-2.97644,-1.94855
3,3,2.20098,2.13001,-2.97644,-2.10575
3,3,2.22129,2.15951,-2.97644,-2.23505
3,3,2.25286,2.19452,-2.97644,-2.36557
3,3,2.28664,2.22465,-2.97644,-2.4554
3,3,2.32084,2.25079,-2.97644,-2.51927
3,3,2.32946,2.25688,-2.97644,-2.53315
3,3,2.3466,2.26847,-2.97644,-2.55864
3,3,2.37153,2.28441,-2.97644,-2.58554
3,3,2.39596,2.29922,-2.97644,-2.60729
3,3,2.42046,2.31331,-2.97644,-2.62878
3,3,2.44366,2.32616,-2.97644,-2.64215
3,3,2.46596,2.33818,-2.97644,-2.65143
3,3,2.49463,2.3533,-2.97644,-2.66064
3,3,2.5222,2.36756,-2.97644,-2.6674
3,3,2.54214,2.37774,-2.97644,-2.67117
3,3,2.56765,2.39065,-2.97644,-2.67475
3,3,2.58608,2.39992,-2.97644,-2.6767
3,3,2.604,2.40889,-2.97644,-2.67816
3,3,2.6213,2.41752,-2.97644,-2.67916
3,3,2.62694,2.42033,-2.97644,-2.67942
3,3,2.64357,2.42861,-2.97644,-2.68
3,3,2.65433,2.43396,-2.97644,-2.68023
3,3,2.66486,2.4392,-2.97644,-2.68037
3,3,2.69034,2.45186,-2.97644,-2.6804
3,3,2.70974,2.4615,-2.97644,-2.68018
3,3,2.72382,2.46851,-2.97644,-2.67992
3,3,2.74183,2.47747,-2.97644,-2.67945
3,3,2.75482,2.48394,-2.97644,-2.67903
3,3,2.76744,2.49024,-2.97644,-2.67858
3,3,2.77971,2.49637,-2.97644,-2.67812
3,3,2.79155,2.50229,-2.97644,-2.67766
3,3,2.80684,2.50994,-2.97644,-2.67705
3,3,2.81783,2.51546,-2.97644,-2.67662
3,3,2.83195,2.52254,-2.97644,-2.67611
3,3,2.84549,2.52935,-2.97644,-2.67566
3,3,2.85525,2.53426,-2.97644,-2.67539
3,3,2.86789,2.54062,-2.97644,-2.6751
3,3,2.87701,2.54521,-2.97644,-2.67497
3,3,2.88865,2.55108,-2.97644,-2.67492
3,3,2.89987,2.55673,-2.97644,-2.67501
3,3,2.91062,2.56214,-2.97644,-2.67527
3,3,2.92089,2.56731,-2.97644,-2.67572
3,3,2.92588,2.56982,-2.97644,-2.67602
3,3,2.93548,2.57464,-2.97644,-2.67676
3,3,2.94013,2.57697,-2.97644,-2.67721
3,3,2.94697,2.58039,-2.97644,-2.67804
3,3,2.95571,2.58475,-2.97644,-2.6793
3,3,2.96407,2.58891,-2.97644,-2.68085
3,3,2.97208,2.59287,-2.97644,-2.68261
3,3,2.97973,2.59665,-2.97644,-2.68466
3,3,2.98525,2.59935,-2.97644,-2.68643
3,3,2.9923,2.60279,-2.97644,-2.68896
3,3,2.99905,2.60606,-2.97644,-2.69182
3,3,3.00229,2.60763,-2.97644,-2.69336
3,3,3.00706,2.60991,-2.97644,-2.69586
3,3,3.01014,2.61138,-2.97644,-2.69763
3,3,3.01606,2.61418,-2.97644,-2.70137
3,3,3.02031,2.61618,-2.97644,-2.70446
3,3,3.02572,2.61869,-2.97644,-2.70875
3,3,3.03086,2.62105,-2.97644,-2.71348
3,3,3.03455,2.62272,-2.97644,-2.7172
3,3,3.03693,2.6238,-2.97644,-2.71975
3,3,3.04038,2.62533,-2.97644,-2.7238
3,3,3.04366,2.62678,-2.97644,-2.72807
3,3,3.04787,2.62861,-2.97644,-2.7341
3,3,3.05084,2.62989,-2.97644,-2.73886
3,3,3.05459,2.63147,-2.97644,-2.74537
3,3,3.05809,2.63292,-2.97644,-2.75216
3,3,3.06055,2.63392,-2.97644,-2.75751
3,3,3.06291,2.63486,-2.97644,-2.76302
3,3,3.06514,2.63574,-2.97644,-2.7687
3,3,3.06655,2.63629,-2.97644,-2.77261
3,3,3.06919,2.6373,-2.97644,-2.78046
3,3,3.07164,2.63821,-2.97644,-2.78862
3,3,3.07389,2.63903,-2.97644,-2.79708
3,3,3.07542,2.63957,-2.97644,-2.80346
3,3,3.07732,2.64023,-2.97644,-2.81226
3,3,3.07899,2.64079,-2.97644,-2.82115
3,3,3.08013,2.64116,-2.97644,-2.82793
3,3,3.08114,2.64149,-2.97644,-2.83483
3,3,3.08176,2.64168,-2.97644,-2.83936
3,3,3.08287,2.64202,-2.97644,-2.84853
3,3,3.08359,2.64223,-2.97644,-2.85544
3,3,3.0844,2.64247,-2.97644,-2.86464
3,3,3.08474,2.64256,-2.97644,-2.86925
3,3,3.08519,2.64268,-2.97644,-2.87619
3,3,3.08542,2.64275,-2.97644,-2.8807
3,3,3.08562,2.6428,-2.97644,-2.88519
3,3,3.08587,2.64286,-2.97644,-2.89207
3,3,3.08603,2.6429,-2.97644,-2.89881
3,3,3.08608,2.64291,-2.97644,-2.90329
3,3,3.0861,2.64292,-2.97644,-2.90978
3,3,3.08603,2.6429,-2.97644,-2.91616
3,3,3.0859,2.64287,-2.97644,-2.92235
3,3,3.08564,2.64281,-2.97644,-2.93054
3,3,3.08537,2.64275,-2.97644,-2.93646
3,3,3.08515,2.64271,-2.97644,-2.94027
3,3,3.08465,2.64261,-2.97644,-2.94778
3,3,3.08404,2.64249,-2.97644,-2.95489
3,3,3.08353,2.64239,-2.97644,-2.95997
3,3,3.08318,2.64233,-2.97644,-2.96333
3,3,3.0826,2.64222,-2.97644,-2.96813
3,3,3.08199,2.64212,-2.97644,-2.9727
3,3,3.08113,2.64197,-2.97644,-2.97852
3,3,3.08045,2.64186,-2.97644,-2.98262
3,3,3.07974,2.64175,-2.97644,-2.98646
3,3,3.07901,2.64164,-2.97644,-2.99011
3,3,3.07826,2.64152,-2.97644,-2.99357
3,3,3.0775,2.64141,-2.97644,-2.99676
3,3,3.07698,2.64133,-2.97644,-2.99878
3,3,3.07594,2.64119,-2.97644,-3.00257
3,3,3.07514,2.64108,-2.97644,-3.00516
3,3,3.07408,2.64093,-2.97644,-3.00828
3,3,3.07328,2.64082,-2.97644,-3.01041
3,3,3.07222,2.64068,-2.97644,-3.01289
3,3,3.07116,2.64055,-2.97644,-3.01504
3,3,3.07038,2.64045,-2.97644,-3.01642
3,3,3.06986,2.64038,-2.97644,-3.01726
3,3,3.06909,2.64029,-2.97644,-3.01835
3,3,3.06833,2.64019,-2.97644,-3.01929
3,3,3.06734,2.64007,-2.97644,-3.02029
3,3,3.06638,2.63996,-2.97644,-3.02099
3,3,3.06567,2.63987,-2.97644,-3.02131
3,3,3.06477,2.63976,-2.97644,-3.02154
3,3,3.0639,2.63966,-2.97644,-3.02154
3,3,3.06347,2.63961,-2.97644,-3.02146
3,3,3.06265,2.63951,-2.97644,-3.02114
3,3,3.06187,2.63941,-2.97644,-3.0206
3,3,3.06132,2.63934,-2.97644,-3.02009
3,3,3.06061,2.63926,-2.97644,-3.01926
3,3,3.06027,2.63922,-2.97644,-3.01878
3,3,3.05963,2.63914,-2.97644,-3.01773
3,3,3.05917,2.63908,-2.97644,-3.01684
3,3,3.05874,2.63903,-2.97644,-3.01587
3,3,3.05833,2.63897,-2.97644,-3.01483
3,3,3.05783,2.63891,-2.97644,-3.01338
3,3,3.05748,2.63887,-2.97644,-3.01222
3,3,3.05706,2.63881,-2.97644,-3.0106
3,3,3.05677,2.63877,-2.97644,-3.00934
3,3,3.05642,2.63872,-2.97644,-3.00762
3,3,3.05618,2.63869,-2.97644,-3.00628
3,3,3.05596,2.63866,-2.97644,-3.0049
3,3,3.05583,2.63865,-2.97644,-3.00398
3,3,3.05571,2.63863,-2.97644,-3.00306
3,3,3.05555,2.63861,-2.97644,-3.00167
3,3,3.0554,2.63859,-2.97644,-3.00026
3,3,3.05532,2.63857,-2.97644,-2.99934
3,3,3.05518,2.63855,-2.97644,-2.99749
3,3,3.05512,2.63855,-2.97644,-2.99655
3,3,3.05504,2.63853,-2.97644,-2.99516
3,3,3.05501,2.63853,-2.97644,-2.99426
3,3,3.05496,2.63852,-2.97644,-2.99247
3,3,3.05494,2.63852,-2.97644,-2.99113
3,3,3.05493,2.63852,-2.97644,-2.99024
3,3,3.05494,2.63852,-2.97644,-2.98894
3,3,3.05495,2.63852,-2.97644,-2.98807
3,3,3.05498,2.63853,-2.97644,-2.98681
3,3,3.05501,2.63853,-2.97644,-2.98601
3,3,3.05508,2.63854,-2.97644,-2.98443
3,3,3.05517,2.63856,-2.97644,-2.98291
3,3,3.05529,2.63858,-2.97644,-2.98145
3,3,3.05541,2.6386,-2.97644,-2.98006
3,3,3.05552,2.63862,-2.97644,-2.97905
3,3,3.05564,2.63863,-2.97644,-2.97809
3,3,3.05576,2.63865,-2.97644,-2.97716
3,3,3.05588,2.63868,-2.97644,-2.97629
3,3,3.05602,2.6387,-2.97644,-2.97546
3,3,3.05616,2.63872,-2.97644,-2.97466
3,3,3.05635,2.63875,-2.97644,-2.97366
3,3,3.0565,2.63878,-2.97644,-2.97297
3,3,3.05665,2.63881,-2.97644,-2.97232
3,3,3.05681,2.63883,-2.97644,-2.97172
3,3,3.05697,2.63886,-2.97644,-2.97116
3,3,3.05718,2.6389,-2.97644,-2.97047
3,3,3.05728,2.63891,-2.97644,-2.97015
3,3,3.05739,2.63893,-2.97644,-2.96986
3,3,3.0576,2.63897,-2.97644,-2.96931
3,3,3.05776,2.639,-2.97644,-2.96896
3,3,3.05792,2.63903,-2.97644,-2.96863
3,3,3.05808,2.63905,-2.97644,-2.96834
3,3,3.05823,2.63908,-2.97644,-2.9681
3,3,3.05838,2.63911,-2.97644,-2.96789
3,3,3.05848,2.63912,-2.97644,-2.96777
3,3,3.05858,2.63914,-2.97644,-2.96766
3,3,3.05873,2.63917,-2.97644,-2.96753
3,3,3.05887,2.63919,-2.97644,-2.96743
3,3,3.05906,2.63923,-2.97644,-2.96734
3,3,3.0592,2.63925,-2.97644,-2.96731
3,3,3.05937,2.63928,-2.97644,-2.96731
3,3,3.0595,2.6393,-2.97644,-2.96734
3,3,3.05966,2.63933,-2.97644,-2.96742
3,3,3.05977,2.63935,-2.97644,-2.96751
3,3,3.05992,2.63938,-2.97644,-2.96765
3,3,3.05996,2.63938,-2.97644,-2.9677
3,3,3.06006,2.6394,-2.97644,-2.96784
3,3,3.06019,2.63942,-2.97644,-2.96806
3,3,3.06031,2.63945,-2.97644,-2.9683
3,3,3.06039,2.63946,-2.97644,-2.9685
