q_diag,r_diag,horizon,tolerance,dt_
0.85,0.2,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
3,3,3.50717,2.82516,-2.97644,-1.82036
3,3,3.50901,2.83256,-2.97644,-1.80948
3,3,3.51122,2.84194,-2.97644,-1.79568
3,3,3.51319,2.85085,-2.97644,-1.78231
3,3,3.51496,2.85936,-2.97644,-1.7697
3,3,3.51654,2.86745,-2.97644,-1.75767
3,3,3.51828,2.87702,-2.97644,-1.74343
3,3,3.5192,2.88246,-2.97644,-1.7353
3,3,3.52032,2.88941,-2.97644,-1.725
3,3,3.52108,2.8944,-2.97644,-1.71782
3,3,3.52199,2.90076,-2.97644,-1.70864
3,3,3.52279,2.90675,-2.97644,-1.70015
3,3,3.52367,2.91377,-2.97644,-1.69047
3,3,3.52413,2.91771,-2.97644,-1.68531
3,3,3.52469,2.92271,-2.97644,-1.67917
3,3,3.52506,2.92619,-2.97644,-1.6755
3,3,3.52549,2.9304,-2.97644,-1.67266
3,3,3.52586,2.93393,-2.97644,-1.67409
3,3,3.52685,2.9428,-2.97644,-1.6833
3,3,3.52944,2.96405,-2.97644,-1.7154
3,3,3.53097,2.97286,-2.97644,-1.79073
3,3,3.53026,2.97026,-2.97644,-1.86628
3,3,3.52668,2.96032,-2.97644,-1.95973
3,3,3.5142,2.93528,-2.97644,-2.10037
3,3,3.49031,2.90169,-2.97644,-2.27763
3,3,3.45021,2.86345,-2.97644,-2.48129
3,3,3.39678,2.83044,-2.97644,-2.69373
3,3,3.33685,2.80814,-2.97644,-2.86397
3,3,3.29092,2.79739,-2.97644,-2.95763
3,3,3.24797,2.791,-2.97644,-3.02747
3,3,3.187,2.78645,-2.97644,-3.10452
3,3,3.14693,2.78587,-2.97644,3.13378
3,3,3.10952,2.78741,-2.97644,3.04516
3,3,3.06943,2.79572,-2.97644,2.803
3,3,3.04833,2.80509,-2.97644,2.64357
3,3,3.02259,2.82283,-2.97644,2.43085
3,3,3.00165,2.84506,-2.97644,2.21815
3,3,2.98685,2.86955,-2.97644,2.00544
3,3,2.97731,2.89971,-2.97644,1.73958
3,3,2.9756,2.91852,-2.97644,1.58061
3,3,2.97655,2.93274,-2.97644,1.42109
3,3,2.98192,2.95198,-2.97644,1.15522
3,3,2.98811,2.96288,-2.97644,0.942522
3,3,2.99252,2.96808,-2.97644,0.783018
3,3,2.99707,2.97199,-2.97644,0.623501
3,3,3.00181,2.97467,-2.97644,0.357661
3,3,3.00357,2.97518,-2.97644,0.145
3,3,3.00397,2.97524,-2.97644,-0.0144947
3,3,3.00334,2.97537,-2.97644,-0.227149
3,3,3.00179,2.97595,-2.97644,-0.439804
3,3,2.99985,2.97717,-2.97644,-0.652452
3,3,2.99836,2.97854,-2.97644,-0.811933
3,3,2.99628,2.9815,-2.97644,-1.07774
3,3,2.99521,2.98419,-2.97644,-1.29037
3,3,2.99474,2.98757,-2.97644,-1.55489
3,3,2.99467,2.98665,-2.97644,-1.70387
3,3,2.99545,2.98964,-2.97644,-1.90702
3,3,2.99635,2.99171,-2.97644,-2.04244
3,3,2.99752,2.99363,-2.97644,-2.17181
3,3,2.99795,2.99421,-2.97644,-2.22427
3,3,2.99868,2.99506,-2.97644,-2.31614
3,3,2.99929,2.99566,-2.97644,-2.39625
3,3,2.99978,2.99607,-2.97644,-2.46638
3,3,3.00024,2.9964,-2.97644,-2.54252
3,3,3.00045,2.99653,-2.97644,-2.58278
3,3,3.00066,2.99664,-2.97644,-2.63058
3,3,3.00077,2.9967,-2.97644,-2.66266
3,3,3.00089,2.99675,-2.97644,-2.7017
3,3,3.00094,2.99677,-2.97644,-2.72721
3,3,3.00099,2.99678,-2.97644,-2.76487
0,2.5,3.001,2.99678,2.1588,-2.78432
0,2.5,2.99534,2.99499,2.1588,-2.86475
0,2.5,2.97184,2.98972,2.1588,-2.9654
0,2.5,2.92958,2.98449,2.1588,-3.0656
0,2.5,2.90139,2.98306,2.1588,-3.11569
0,2.5,2.83382,2.98437,2.1588,3.08606
